City,avg_rating,avg_cost_for_two,restaurant_count,cuisine_diversity
New Delhi,2.50206106870229,603.9484732824427,5240,80.0
Gurgaon,2.72196261682243,729.2056074766355,1070,71.0
Noida,2.1662613981762915,551.469098277609,987,48.0
Faridabad,1.991703056768559,451.31004366812226,229,29.0
Ghaziabad,2.852,602.0,25,14.0
Ahmedabad,4.161904761904762,857.1428571428571,21,21.0
Augusta,4.13,27.0,20,25.0
Cedar Rapids/Iowa City,4.165,25.75,20,18.0
Auckland,4.275,68.25,20,19.0
Abu Dhabi,4.3,182.0,20,27.0
Albany,3.5549999999999997,19.75,20,20.0
Athens,4.2,19.0,20,20.0
Ankara,4.305,87.25,20,13.0
Rest of Hawaii,4.41,31.75,20,12.0
Rio de Janeiro,4.265,126.75,20,16.0
Savannah,4.154999999999999,32.5,20,18.0
S��o Paulo,3.53,157.25,20,19.0
Surat,3.935,812.5,20,16.0
Sioux City,3.7649999999999997,24.25,20,21.0
Chennai,4.3149999999999995,1085.0,20,21.0
Bangalore,4.375,1232.5,20,19.0
Dalton,4.11,16.0,20,16.0
Doha,4.0600000000000005,223.75,20,19.0
Dubuque,3.535,23.75,20,16.0
Des Moines,4.235,28.0,20,24.0
Columbus,4.029999999999999,26.75,20,21.0
Davenport,3.715,25.25,20,21.0
Boise,4.26,27.25,20,20.0
Birmingham,3.6799999999999997,39.0,20,20.0
Dubai,4.37,211.75,20,20.0
Kolkata,4.255,1272.5,20,18.0
London,4.535,64.5,20,19.0
Jaipur,4.13,1310.0,20,19.0
Indore,3.97,960.0,20,16.0
Gainesville,4.035,21.25,20,17.0
Manchester,4.045,49.25,20,21.0
Macon,4.115,27.25,20,22.0
Kochi,4.08,730.0,20,16.0
Edinburgh,4.09,38.5,20,21.0
Coimbatore,4.135,782.5,20,21.0
Pocatello,3.4850000000000003,20.75,20,24.0
Orlando,4.475,40.25,20,26.0
Mumbai,4.085,1072.5,20,26.0
Cape Town,4.11,297.2,20,20.0
Bras�_lia,3.495,120.0,20,18.0
Pensacola,4.2,30.25,20,24.0
Pune,4.220000000000001,1337.5,20,23.0
Pretoria,4.1899999999999995,492.25,20,32.0
Valdosta,3.715,29.25,20,21.0
Tampa Bay,4.41,34.75,20,24.0
Wellington City,4.25,71.25,20,17.0
Singapore,3.575,155.75,20,29.0
Puducherry,3.7299999999999995,842.5,20,22.0
Waterloo,3.65,21.25,20,23.0
Sharjah,4.029999999999999,105.5,20,22.0
Mysore,3.71578947368421,778.421052631579,19,15.0
Nagpur,3.9684210526315793,739.4736842105264,19,12.0
Colombo,3.8526315789473684,2342.1052631578946,19,18.0
Ludhiana,4.011111111111111,1133.3333333333333,18,17.0
Chandigarh,4.050000000000001,1072.2222222222222,18,21.0
Kanpur,3.827777777777778,955.5555555555555,18,18.0
Hyderabad,4.344444444444445,1361.111111111111,18,24.0
Lucknow,4.223529411764706,876.4705882352941,17,16.0
Patna,3.447058823529412,738.2352941176471,17,12.0
Bhubaneshwar,3.929411764705882,661.7647058823529,17,17.0
Goa,4.2176470588235295,1152.9411764705883,17,12.0
Amritsar,3.635294117647059,544.1176470588235,17,7.0
Aurangabad,3.3874999999999997,650.0,16,11.0
Ranchi,3.475,759.375,16,9.0
Jakarta,4.42,322333.3333333333,15,17.0
Guwahati,4.166666666666667,723.3333333333334,15,16.0
Vizag,4.013333333333334,776.6666666666666,15,21.0
Allahabad,3.4066666666666667,483.3333333333333,15,11.0
��stanbul,4.292857142857143,81.42857142857143,14,11.0
Nashik,3.5714285714285716,685.7142857142857,14,13.0
Agra,4.021428571428571,1092.857142857143,14,11.0
Bhopal,4.021428571428571,592.8571428571429,14,10.0
Varanasi,3.4769230769230766,515.3846153846154,13,9.0
Dehradun,4.107692307692307,823.0769230769231,13,15.0
Mangalore,3.6818181818181817,763.6363636363636,11,12.0
Sandton,4.3,375.90909090909093,11,15.0
Vadodara,4.08,850.0,10,13.0
Johannesburg,4.2,470.0,6,16.0
Mandaluyong City,4.625,2000.0,4,8.0
Taguig City,4.525,1725.0,4,10.0
Pasay City,4.366666666666667,3333.3333333333335,3,5.0
Pasig City,4.633333333333334,933.3333333333334,3,5.0
Bogor,3.85,160000.0,2,5.0
Inner City,4.9,1120.0,2,3.0
Secunderabad,4.5,825.0,2,4.0
Tangerang,4.300000000000001,250000.0,2,2.0
Santa Rosa,3.8,825.0,2,5.0
San Juan City,4.25,850.0,2,2.0
Hepburn Springs,3.8,13.5,2,5.0
Makati City,4.65,1150.0,2,3.0
Balingup,3.2,20.0,1,1.0
Armidale,3.5,20.0,1,2.0
Cochrane,3.1,25.0,1,2.0
Beechworth,4.6,20.0,1,2.0
Huskisson,4.1,20.0,1,2.0
Inverloch,3.7,7.0,1,3.0
Forrest,3.7,20.0,1,2.0
Clatskanie,4.3,10.0,1,3.0
Chatham-Kent,3.7,25.0,1,2.0
Bandung,4.2,150000.0,1,3.0
Consort,3.0,25.0,1,2.0
Dicky Beach,3.6,7.0,1,3.0
East Ballina,4.1,20.0,1,1.0
Fernley,3.7,10.0,1,1.0
Macedon,3.5,20.0,1,1.0
Lakeview,3.6,10.0,1,3.0
Lincoln,4.5,25.0,1,1.0
Lorn,3.6,20.0,1,2.0
Lakes Entrance,3.8,7.0,1,2.0
Flaxton,3.5,30.0,1,2.0
Penola,3.4,20.0,1,3.0
Mayfield,2.9,20.0,1,1.0
Montville,2.4,30.0,1,2.0
Monroe,3.6,25.0,1,2.0
Mohali,4.3,550.0,1,2.0
Miller,3.4,0.0,1,
Mc Millan,2.4,10.0,1,2.0
Middleton Beach,3.8,30.0,1,2.0
Ojo Caliente,3.6,40.0,1,3.0
Palm Cove,4.4,30.0,1,2.0
Quezon City,4.8,800.0,1,2.0
Princeton,4.0,70.0,1,1.0
Potrero,3.3,25.0,1,3.0
Phillip Island,3.7,20.0,1,3.0
Panchkula,4.2,2000.0,1,3.0
Paynesville,2.6,120.0,1,1.0
Tagaytay City,4.5,1200.0,1,1.0
Randburg,4.3,200.0,1,1.0
Victor Harbor,3.6,20.0,1,3.0
Vernonia,4.3,10.0,1,2.0
Tanunda,4.4,30.0,1,2.0
Trentham East,4.1,20.0,1,1.0
Weirton,3.9,25.0,1,3.0
Vineland Station,4.3,70.0,1,3.0
Winchester Bay,3.2,25.0,1,3.0
Yorkton,3.3,25.0,1,1.0
