Country Code,avg_rating,avg_cost_for_two,restaurant_count,cuisine_diversity
1,2.5859139389481425,632.1171999509623,8157,89
216,4.004377880184332,26.152073732718893,434,58
215,4.0875,47.8125,80,40
214,4.233333333333333,166.41666666666666,60,38
189,4.21,419.73333333333335,60,38
30,3.7633333333333336,134.66666666666666,60,31
148,4.2625,69.75,40,26
208,4.3,84.8529411764706,34,18
14,3.658333333333333,24.083333333333332,24,17
162,4.468181818181818,1606.8181818181818,22,19
94,4.34,290250.0,20,19
184,3.575,155.75,20,29
166,4.0600000000000005,223.75,20,19
191,3.8526315789473684,2342.1052631578946,19,18
37,3.575,36.25,4,8
