Country Code,City,locality_for_hotspot,restaurant_count
1,New Delhi,"Connaught Place, New Delhi",122
1,New Delhi,"Rajouri Garden, New Delhi",98
1,New Delhi,"Defence Colony, New Delhi",85
1,New Delhi,"Malviya Nagar, New Delhi",84
1,New Delhi,"Pitampura, New Delhi",83
1,New Delhi,"Shahdara, New Delhi",81
1,New Delhi,"Rajinder Nagar, New Delhi",79
1,New Delhi,"Karol Bagh, New Delhi",75
1,New Delhi,"Satyaniketan, New Delhi",75
1,Noida,"Sector 18, Noida",75
1,New Delhi,"Mayur Vihar Phase 1, New Delhi",73
1,New Delhi,"Hauz Khas, New Delhi",71
1,New Delhi,"Kalkaji, New Delhi",71
1,Noida,"Sector 62, Noida",70
1,New Delhi,"Safdarjung, New Delhi",70
1,Gurgaon,"DLF Phase 3, Gurgaon",68
1,New Delhi,"Krishna Nagar, New Delhi",67
1,New Delhi,"Greater Kailash (GK) 2, New Delhi",66
1,New Delhi,"Mahipalpur, New Delhi",66
1,New Delhi,"Mukherjee Nagar, New Delhi",65
