feature,abs_coefficient,coefficient
log_votes,0.3075022113476369,0.3075022113476369
Online delivery,0.11793524060390936,-0.11793524060390936
Price range,0.0916351923167503,0.0916351923167503
Table booking,0.08585407505834218,-0.08585407505834218
cuisine_count,0.023894284233739946,-0.023894284233739946
Country Code,0.021807319637136675,0.021807319637136675
cost_z,0.01713523008033954,-0.01713523008033954
Average Cost for two,0.01295180690975175,0.01295180690975175
Primary Cuisine,0.0016932429449609248,-0.0016932429449609248
City,0.0014430930935762712,-0.0014430930935762712
