,precision,recall,f1-score,support
American,0.2857142857142857,0.03571428571428571,0.06349206349206349,56.0
Asian,0.0,0.0,0.0,15.0
Bakery,0.0,0.0,0.0,124.0
Beverages,0.0,0.0,0.0,16.0
Biryani,0.0,0.0,0.0,22.0
Burger,0.0,0.0,0.0,23.0
Cafe,0.0,0.0,0.0,124.0
Chinese,0.16666666666666666,0.005847953216374269,0.011299435028248588,171.0
Continental,0.25,0.0425531914893617,0.07272727272727272,47.0
Desserts,0.3333333333333333,0.03333333333333333,0.06060606060606061,30.0
European,0.0,0.0,0.0,12.0
Fast Food,0.041666666666666664,0.007407407407407408,0.012578616352201259,135.0
Finger Food,0.0,0.0,0.0,16.0
Healthy Food,0.0,0.0,0.0,11.0
Ice Cream,0.0,0.0,0.0,36.0
Indian,1.0,0.3,0.46153846153846156,10.0
Italian,0.0,0.0,0.0,47.0
Japanese,0.0,0.0,0.0,14.0
Mexican,0.0,0.0,0.0,12.0
Mithai,0.2608695652173913,0.12244897959183673,0.16666666666666666,49.0
Mughlai,0.0,0.0,0.0,43.0
North Indian,0.35753176043557167,0.986644407345576,0.5248667850799289,599.0
Other,0.33986928104575165,0.4297520661157025,0.3795620437956204,121.0
Pizza,0.0,0.0,0.0,46.0
Raw Meats,0.0,0.0,0.0,22.0
Seafood,0.0,0.0,0.0,10.0
South Indian,0.0,0.0,0.0,53.0
Street Food,0.24,0.1276595744680851,0.16666666666666666,47.0
accuracy,0.34798534798534797,0.34798534798534797,0.34798534798534797,0.34798534798534797
macro avg,0.11698755568141668,0.07469147138149868,0.06857157399832825,1911.0
weighted avg,0.18902319005918133,0.34798534798534797,0.2058397864818571,1911.0
