,precision,recall,f1-score,support
American,0.2375,0.3392857142857143,0.27941176470588236,56.0
Asian,0.1,0.2,0.13333333333333333,15.0
Bakery,0.15,0.12096774193548387,0.13392857142857142,124.0
Beverages,0.07142857142857142,0.25,0.1111111111111111,16.0
Biryani,0.02040816326530612,0.09090909090909091,0.03333333333333333,22.0
Burger,0.1,0.21739130434782608,0.136986301369863,23.0
Cafe,0.2692307692307692,0.3387096774193548,0.3,124.0
Chinese,0.12871287128712872,0.07602339181286549,0.09558823529411764,171.0
Continental,0.10891089108910891,0.23404255319148937,0.14864864864864866,47.0
Desserts,0.04838709677419355,0.1,0.06521739130434782,30.0
European,0.1111111111111111,0.16666666666666666,0.13333333333333333,12.0
Fast Food,0.11842105263157894,0.06666666666666667,0.08530805687203792,135.0
Finger Food,0.2,0.5,0.2857142857142857,16.0
Healthy Food,0.11764705882352941,0.18181818181818182,0.14285714285714285,11.0
Ice Cream,0.1323529411764706,0.25,0.17307692307692307,36.0
Indian,0.2,0.3,0.24,10.0
Italian,0.15555555555555556,0.2978723404255319,0.20437956204379562,47.0
Japanese,0.14285714285714285,0.21428571428571427,0.17142857142857143,14.0
Mexican,0.07407407407407407,0.16666666666666666,0.10256410256410256,12.0
Mithai,0.14285714285714285,0.22448979591836735,0.1746031746031746,49.0
Mughlai,0.07051282051282051,0.2558139534883721,0.11055276381909548,43.0
North Indian,0.5742574257425742,0.09682804674457429,0.1657142857142857,599.0
Other,0.2987012987012987,0.19008264462809918,0.23232323232323232,121.0
Pizza,0.16216216216216217,0.2608695652173913,0.2,46.0
Raw Meats,0.03636363636363636,0.09090909090909091,0.05194805194805195,22.0
Seafood,0.1111111111111111,0.1,0.10526315789473684,10.0
South Indian,0.08333333333333333,0.11320754716981132,0.096,53.0
Street Food,0.08333333333333333,0.14893617021276595,0.10687022900763359,47.0
accuracy,0.15698587127158556,0.15698587127158556,0.15698587127158556,0.15698587127158556
macro avg,0.14461534155078404,0.19973009016856164,0.15069627013320044,1911.0
weighted avg,0.2856592293094948,0.15698587127158556,0.15997964365321227,1911.0
