,North Indian,Chinese,Fast Food,Bakery,Cafe,Other,American,South Indian,Mithai,Italian,Continental,Street Food
North Indian,58,38,24,21,48,10,17,27,16,33,35,22
Chinese,13,13,10,10,11,5,3,3,2,7,7,7
Fast Food,3,4,9,12,6,2,7,9,10,2,3,10
Bakery,4,8,5,15,5,1,1,3,10,1,2,9
Cafe,2,7,2,5,42,9,1,6,3,6,4,0
Other,2,2,4,5,8,23,11,2,0,12,9,0
American,0,1,1,1,1,5,19,2,0,2,4,0
South Indian,4,3,4,4,2,0,0,6,4,0,0,3
Mithai,2,4,4,2,1,0,0,3,11,0,0,9
Italian,1,3,0,0,1,3,5,0,0,14,4,0
Continental,4,3,0,1,3,1,4,0,0,3,11,0
Street Food,0,0,3,3,4,0,0,0,13,0,1,7
